North,South,East,West,Current,Number
Can,Can,Can,Wall,Empty,123
Can,Can,Can,Wall,Can,124
Can,Can,Can,Wall,Wall,125
Can,Can,Wall,Empty,Empty,126
Can,Can,Wall,Empty,Can,127
Can,Can,Wall,Empty,Wall,128
Can,Can,Wall,Can,Empty,129
Can,Can,Wall,Can,Can,130
Can,Can,Wall,Can,Wall,131
Can,Can,Wall,Wall,Empty,132
Can,Can,Wall,Wall,Can,133
Can,Can,Wall,Wall,Wall,134
Can,Wall,Empty,Empty,Empty,135
Can,Wall,Empty,Empty,Can,136
Can,Wall,Empty,Empty,Wall,137
Can,Wall,Empty,Can,Empty,138
Can,Wall,Empty,Can,Can,139
Can,Wall,Empty,Can,Wall,140
Can,Wall,Empty,Wall,Empty,141
Can,Wall,Empty,Wall,Can,142
Can,Wall,Empty,Wall,Wall,143
Can,Wall,Can,Empty,Empty,144
Can,Wall,Can,Empty,Can,145
Can,Wall,Can,Empty,Wall,146
Can,Wall,Can,Can,Empty,147
Can,Wall,Can,Can,Can,148
Can,Wall,Can,Can,Wall,149
Can,Wall,Can,Wall,Empty,150
Can,Wall,Can,Wall,Can,151
Can,Wall,Can,Wall,Wall,152
Can,Wall,Wall,Empty,Empty,153
Can,Wall,Wall,Empty,Can,154
Can,Wall,Wall,Empty,Wall,155
Can,Wall,Wall,Can,Empty,156
Can,Wall,Wall,Can,Can,157
Can,Wall,Wall,Can,Wall,158
Can,Wall,Wall,Wall,Empty,159
Can,Wall,Wall,Wall,Can,160
Can,Wall,Wall,Wall,Wall,161
Wall,Empty,Empty,Empty,Empty,162
Wall,Empty,Empty,Empty,Can,163
Wall,Empty,Empty,Empty,Wall,164
Wall,Empty,Empty,Can,Empty,165
Wall,Empty,Empty,Can,Can,166
Wall,Empty,Empty,Can,Wall,167
Wall,Empty,Empty,Wall,Empty,168
Wall,Empty,Empty,Wall,Can,169
Wall,Empty,Empty,Wall,Wall,170
Wall,Empty,Can,Empty,Empty,171
Wall,Empty,Can,Empty,Can,172
Wall,Empty,Can,Empty,Wall,173
Wall,Empty,Can,Can,Empty,174
Wall,Empty,Can,Can,Can,175
Wall,Empty,Can,Can,Wall,176
Wall,Empty,Can,Wall,Empty,177
Wall,Empty,Can,Wall,Can,178
Wall,Empty,Can,Wall,Wall,179
Wall,Empty,Wall,Empty,Empty,180
Wall,Empty,Wall,Empty,Can,181
Wall,Empty,Wall,Empty,Wall,182
Wall,Empty,Wall,Can,Empty,183
Wall,Empty,Wall,Can,Can,184
Wall,Empty,Wall,Can,Wall,185
Wall,Empty,Wall,Wall,Empty,186
Wall,Empty,Wall,Wall,Can,187
Wall,Empty,Wall,Wall,Wall,188
Wall,Can,Empty,Empty,Empty,189
Wall,Can,Empty,Empty,Can,190
Wall,Can,Empty,Empty,Wall,191
Wall,Can,Empty,Can,Empty,192
Wall,Can,Empty,Can,Can,193
Wall,Can,Empty,Can,Wall,194
Wall,Can,Empty,Wall,Empty,195
Wall,Can,Empty,Wall,Can,196
Wall,Can,Empty,Wall,Wall,197
Wall,Can,Can,Empty,Empty,198
Wall,Can,Can,Empty,Can,199
Wall,Can,Can,Empty,Wall,200
Wall,Can,Can,Can,Empty,201
Wall,Can,Can,Can,Can,202
Wall,Can,Can,Can,Wall,203
Wall,Can,Can,Wall,Empty,204
Wall,Can,Can,Wall,Can,205
Wall,Can,Can,Wall,Wall,206
Wall,Can,Wall,Empty,Empty,207
Wall,Can,Wall,Empty,Can,208
Wall,Can,Wall,Empty,Wall,209
Wall,Can,Wall,Can,Empty,210
Wall,Can,Wall,Can,Can,211
Wall,Can,Wall,Can,Wall,212
Wall,Can,Wall,Wall,Empty,213
Wall,Can,Wall,Wall,Can,214
Wall,Can,Wall,Wall,Wall,215
Wall,Wall,Empty,Empty,Empty,216
Wall,Wall,Empty,Empty,Can,217
Wall,Wall,Empty,Empty,Wall,218
Wall,Wall,Empty,Can,Empty,219
Wall,Wall,Empty,Can,Can,220
Wall,Wall,Empty,Can,Wall,221
Wall,Wall,Empty,Wall,Empty,222
Wall,Wall,Empty,Wall,Can,223
Wall,Wall,Empty,Wall,Wall,224
Wall,Wall,Can,Empty,Empty,225
Wall,Wall,Can,Empty,Can,226
Wall,Wall,Can,Empty,Wall,227
Wall,Wall,Can,Can,Empty,228
Wall,Wall,Can,Can,Can,229
Wall,Wall,Can,Can,Wall,230
Wall,Wall,Can,Wall,Empty,231
Wall,Wall,Can,Wall,Can,232
Wall,Wall,Can,Wall,Wall,233
Wall,Wall,Wall,Empty,Empty,234
Wall,Wall,Wall,Empty,Can,235
Wall,Wall,Wall,Empty,Wall,236
Wall,Wall,Wall,Can,Empty,237
Wall,Wall,Wall,Can,Can,238
Wall,Wall,Wall,Can,Wall,239
Wall,Wall,Wall,Wall,Empty,240
Wall,Wall,Wall,Wall,Can,241
Wall,Wall,Wall,Wall,Wall,242
